frame_number,class_id,object_id,x1,y1,x2,y2
1,1,3,697,546,769,835
1,10,2,258,269,684,868
1,2,1,1012,529,1405,778
2,1,3,699,548,769,834
2,10,2,258,269,683,869
2,2,1,1013,531,1405,777
3,1,3,698,547,769,834
3,10,2,258,269,685,870
3,2,1,1013,530,1405,777
4,1,3,700,546,770,833
4,10,2,256,265,686,868
4,2,1,1011,529,1405,776
5,1,3,699,545,770,835
5,10,2,254,264,685,868
5,2,1,1012,530,1405,777
6,1,3,698,544,771,836
6,10,2,256,263,692,869
6,2,1,1012,531,1405,778
7,1,3,698,539,773,837
7,10,2,255,263,693,868
7,2,1,1011,530,1405,777
8,1,3,699,539,776,839
8,10,2,253,264,689,868
8,2,1,1011,530,1405,778
9,1,3,698,536,775,838
9,10,2,255,266,688,869
9,2,1,1012,530,1405,778
10,1,3,700,537,777,838
10,10,2,255,268,685,869
10,2,1,1011,531,1405,778
11,1,3,701,540,777,838
11,10,2,255,269,682,868
11,2,1,1012,530,1405,777
12,1,3,701,541,777,837
12,10,2,255,269,681,868
12,2,1,1012,531,1405,777
13,1,3,701,542,777,837
13,10,2,256,269,682,868
13,2,1,1012,531,1405,777
14,1,3,702,542,777,837
14,10,2,256,269,681,868
14,2,1,1012,531,1405,776
15,1,3,702,542,776,836
15,10,2,256,268,682,866
15,2,1,1012,531,1405,777
16,1,3,701,540,776,835
16,10,2,257,268,685,868
16,2,1,1012,532,1405,777
17,1,3,702,540,776,836
17,10,2,256,267,684,866
17,2,1,1012,532,1405,777
18,1,3,701,539,775,836
18,10,2,257,269,683,868
18,2,1,1013,532,1405,777
19,1,3,700,537,775,835
19,10,2,258,267,690,867
19,2,1,1012,532,1405,777
20,1,3,701,537,774,836
20,10,2,260,265,699,867
20,2,1,1012,531,1405,777
21,1,3,702,538,776,837
21,10,2,258,264,701,866
21,2,1,1012,532,1405,777
22,1,3,701,540,775,837
22,10,2,259,264,708,866
22,2,1,1013,531,1405,777
23,1,3,703,540,774,836
23,10,2,259,263,715,867
23,2,1,1012,531,1405,777
24,1,3,704,543,774,837
24,10,2,253,264,702,866
24,2,1,1012,531,1405,776
25,1,3,701,544,772,837
25,10,2,252,267,695,868
25,2,1,1012,530,1405,776
26,1,3,701,545,772,837
26,10,2,251,265,690,867
26,2,1,1012,531,1405,776
27,1,3,701,544,772,837
27,10,2,253,268,689,868
27,2,1,1012,531,1405,776
28,1,3,703,545,773,836
28,10,2,254,269,687,869
28,2,1,1013,531,1406,776
29,1,3,701,545,771,836
29,10,2,255,267,688,867
29,2,1,1012,531,1405,776
30,1,3,699,544,770,836
30,10,2,254,266,687,867
30,2,1,1012,531,1405,776
31,1,3,698,543,770,836
31,10,2,253,266,684,866
31,2,1,1012,532,1405,776
32,1,3,696,543,769,837
32,10,2,253,265,683,866
32,2,1,1012,531,1405,776
33,1,3,695,544,769,837
33,10,2,253,266,681,866
33,2,1,1012,531,1405,777
34,1,3,696,543,769,837
34,10,2,255,266,684,866
34,2,1,1012,531,1405,777
35,1,3,695,543,769,837
35,10,2,255,266,684,866
35,2,1,1012,530,1405,777
36,1,3,694,543,769,837
36,10,2,254,266,682,866
36,2,1,1013,531,1406,776
37,1,3,694,542,769,836
37,10,2,256,269,682,868
37,2,1,1013,531,1405,777
38,1,3,694,541,768,836
38,10,2,255,267,682,866
38,2,1,1012,531,1405,777
39,1,3,693,541,768,836
39,10,2,254,267,680,866
39,2,1,1012,531,1405,777
40,1,3,693,541,768,836
40,10,2,256,269,679,868
40,2,1,1013,531,1406,776
41,1,3,693,541,768,836
41,10,2,256,268,680,867
41,2,1,1013,531,1406,776
42,1,3,694,542,769,836
42,10,2,257,269,681,868
42,2,1,1012,531,1405,776
43,1,3,694,543,770,837
43,10,2,256,267,681,866
43,2,1,1013,531,1406,776
44,1,3,695,543,770,837
44,10,2,256,269,680,868
44,2,1,1013,531,1406,775
45,1,3,694,543,770,837
45,10,2,255,267,679,867
45,2,1,1013,531,1405,776
46,1,3,695,541,770,836
46,10,2,255,266,679,866
46,2,1,1013,531,1406,776
47,1,3,695,541,771,837
47,10,2,255,266,680,866
47,2,1,1014,530,1406,775
48,1,3,696,542,771,837
48,10,2,256,268,681,868
48,2,1,1014,530,1406,776
49,1,3,698,544,772,838
49,10,2,256,267,683,867
49,2,1,1013,531,1406,776
50,1,3,699,544,772,837
50,10,2,257,268,684,868
50,2,1,1014,531,1406,776
51,1,3,698,544,773,837
51,10,2,257,269,686,868
51,2,1,1013,531,1405,776
52,1,3,698,543,774,837
52,10,2,256,269,684,869
52,2,1,1013,531,1405,776
53,1,3,697,542,773,838
53,10,2,257,270,684,869
53,2,1,1013,531,1406,776
54,1,3,697,543,776,838
54,10,2,258,269,686,869
54,2,1,1013,532,1405,777
55,1,3,697,544,776,839
55,10,2,261,269,694,869
55,2,1,1012,531,1405,776
56,1,3,698,543,777,839
56,10,2,262,269,701,869
56,2,1,1013,532,1405,777
57,1,3,703,548,779,840
57,10,2,259,270,694,869
57,2,1,1013,531,1405,777
58,1,3,690,550,763,837
58,10,2,264,269,710,870
58,2,1,1012,531,1405,777
59,1,2,259,269,706,869
59,10,1,1013,531,1405,777
60,1,4,721,574,770,834
60,10,2,261,268,714,869
60,2,1,1013,530,1406,776
61,1,5,683,558,761,851
61,10,2,265,268,727,869
61,2,1,1012,530,1405,777
62,1,2,265,267,735,869
62,10,1,1012,530,1405,777
63,1,2,267,265,751,867
63,10,1,1012,529,1405,776
64,1,2,265,264,760,866
64,10,1,1012,530,1405,777
65,1,2,262,263,764,867
65,10,1,1012,529,1406,776
66,1,2,260,263,767,867
66,10,1,1012,530,1405,777
67,1,2,260,265,770,869
67,10,1,1011,530,1405,777
68,1,2,258,266,771,869
68,10,1,1012,530,1406,777
69,1,2,256,264,771,867
69,10,1,1012,530,1405,777
70,1,2,256,266,773,869
70,10,1,1012,530,1405,777
71,1,2,257,266,774,869
71,10,1,1012,529,1405,777
72,1,2,257,266,775,869
72,10,1,1012,529,1405,777
73,1,2,257,267,777,869
73,10,1,1012,529,1405,778
74,1,2,257,266,778,869
74,10,1,1012,529,1405,778
75,1,2,256,267,779,869
75,10,1,1012,529,1406,777
76,1,2,256,266,779,868
76,10,1,1012,529,1405,777
77,1,2,256,267,780,868
77,10,1,1012,529,1405,777
78,1,2,255,267,779,868
78,10,1,1013,529,1406,777
79,1,2,255,267,778,869
79,10,1,1013,530,1406,777
80,1,2,253,264,776,866
80,10,1,1012,530,1405,777
81,1,2,252,263,776,865
81,10,1,1012,530,1405,777
82,1,2,253,265,775,867
82,10,1,1012,530,1405,777
83,1,2,254,267,775,868
83,10,1,1012,529,1405,777
84,1,2,254,267,773,869
84,10,1,1012,529,1405,777
85,1,2,254,268,773,869
85,10,1,1012,528,1405,777
86,1,2,254,268,772,870
86,10,1,1012,528,1405,777
87,1,2,255,268,771,869
87,10,1,1013,529,1405,777
88,1,2,255,268,771,869
88,10,1,1012,529,1405,777
89,1,2,256,268,771,870
89,10,1,1013,529,1406,777
90,1,2,256,268,770,870
90,10,1,1012,530,1405,777
91,1,2,255,268,769,870
91,10,1,1012,530,1406,777
92,1,2,256,268,770,870
92,10,1,1012,530,1405,777
93,1,2,256,269,770,870
93,10,1,1013,531,1406,778
94,1,2,256,270,770,871
94,10,1,1013,531,1405,779
95,1,2,257,270,772,871
95,10,1,1013,531,1406,779
96,1,2,256,270,772,871
96,10,1,1013,531,1406,779
97,1,2,257,269,773,870
97,10,1,1013,530,1405,779
98,1,2,256,267,774,868
98,10,1,1013,530,1405,779
99,1,2,254,266,774,868
99,10,1,1013,530,1405,779
100,1,2,255,266,775,867
100,10,1,1013,530,1405,779
101,1,2,254,265,776,867
101,10,1,1013,530,1405,779
102,1,2,254,265,776,867
102,10,1,1012,530,1405,778
103,1,2,254,265,777,867
103,10,1,1013,530,1405,779
104,1,2,254,265,778,867
104,10,1,1013,530,1405,779
105,1,2,253,265,777,867
105,10,1,1013,531,1405,779
106,1,2,253,268,775,870
106,10,1,1013,531,1405,779
107,1,2,253,266,773,869
107,10,1,1013,531,1405,779
108,1,2,252,266,773,869
108,10,1,1014,530,1405,779
109,1,2,252,266,772,870
109,10,1,1014,530,1405,781
110,1,2,253,265,774,871
110,10,1,1014,533,1406,784
111,1,2,253,264,773,870
111,10,1,1013,536,1406,786
112,1,2,241,269,743,874
112,10,1,1013,538,1405,788
113,1,2,233,272,714,874
113,2,1,1011,541,1405,790
114,1,2,232,274,702,876
114,2,1,1010,539,1404,790
115,1,6,676,561,773,846
115,2,1,1008,536,1404,789
116,1,6,672,559,774,850
116,2,1,1005,537,1401,791
117,1,6,670,562,772,853
117,2,1,1000,536,1399,792
118,1,6,658,562,763,855
118,2,1,992,535,1392,792
119,1,6,650,563,754,855
119,2,1,986,535,1386,793
120,1,6,633,562,736,855
120,2,1,973,537,1374,794
121,1,6,614,558,719,856
121,2,1,960,539,1363,795
122,1,6,583,557,689,858
122,2,1,939,540,1343,795
123,1,6,559,557,665,860
123,2,1,921,540,1327,795
124,1,6,516,558,623,864
124,2,1,891,541,1298,796
125,1,6,486,560,591,870
125,2,1,867,541,1275,798
126,1,6,447,559,549,872
126,2,1,834,540,1244,798
127,1,6,395,562,498,878
127,2,1,798,541,1208,801
128,1,6,348,560,450,883
128,2,1,757,542,1169,803
129,1,1,712,543,1127,806
130,1,10,-29,31,336,921
130,10,1,664,544,1081,809
131,1,1,613,546,1033,814
132,1,1,558,548,983,819
133,1,1,502,548,930,822
134,1,1,442,548,876,826
135,1,1,379,550,819,832
136,1,1,312,552,759,839
137,1,1,241,552,698,844
138,1,1,171,552,639,851
139,1,1,97,555,576,860
140,1,1,25,555,513,868
141,1,1,-20,552,451,874
142,1,1,-46,550,393,879
143,1,1,-59,545,343,881
144,1,1,-75,554,270,894
149,1,12,1727,562,1902,690
150,1,12,1678,556,1897,686
151,1,12,1621,552,1870,681
152,1,12,1576,550,1842,677
153,1,12,1525,548,1801,672
154,1,13,1781,568,1885,659
154,1,12,1464,546,1746,669
155,1,13,1753,567,1850,656
155,1,12,1424,545,1708,666
156,1,15,1662,558,1799,655
156,1,13,1708,565,1806,653
156,1,12,1379,544,1665,664
157,1,16,1563,564,1662,650
157,1,15,1603,558,1742,653
157,1,13,1654,562,1750,651
157,1,12,1328,544,1613,663
158,1,16,1505,565,1605,651
158,1,15,1550,558,1689,653
158,1,13,1603,566,1693,652
158,1,12,1276,545,1560,664
159,1,16,1474,565,1570,652
159,1,15,1519,559,1652,653
159,1,13,1564,565,1654,652
159,1,12,1237,545,1522,664
160,1,16,1452,566,1543,651
160,1,15,1486,557,1620,652
160,1,13,1535,566,1622,652
160,1,12,1204,545,1488,663
161,1,16,1399,563,1484,646
161,1,15,1422,554,1558,649
161,1,13,1476,563,1562,649
161,1,12,1144,542,1429,662
162,1,16,1356,563,1440,645
162,1,15,1389,556,1521,649
162,1,13,1435,564,1520,649
162,1,12,1104,541,1391,661
163,1,16,1318,566,1398,647
163,1,15,1356,559,1481,651
163,10,12,1060,543,1347,663
164,1,16,1277,568,1357,652
164,1,15,1302,560,1434,653
164,1,12,1017,545,1305,667
165,1,16,1231,569,1316,656
165,1,15,1257,563,1392,656
165,1,12,972,548,1263,671
166,1,16,1195,573,1276,661
166,1,15,1225,569,1355,661
166,1,13,1268,577,1353,662
166,1,12,927,551,1220,675
167,1,16,1158,576,1235,664
167,1,15,1181,573,1313,664
167,1,13,1227,582,1313,665
167,1,12,884,552,1180,678
168,1,15,1147,574,1275,666
168,1,13,1187,585,1272,667
168,1,12,837,554,1138,682
169,1,20,1041,567,1152,671
169,1,15,1112,573,1237,666
169,1,13,1145,585,1232,668
169,1,12,793,555,1098,684
170,1,20,1009,566,1113,666
170,1,15,1066,568,1192,663
170,1,13,1103,578,1190,663
170,1,12,741,550,1052,681
171,1,22,1862,660,1916,882
171,10,20,968,557,1075,658
171,1,15,1027,561,1154,657
171,1,13,1064,569,1153,656
171,1,12,699,544,1015,677
172,1,22,1856,675,1916,876
172,1,20,931,550,1040,653
172,1,15,987,557,1119,654
172,1,13,1029,564,1122,652
172,1,12,658,540,981,675
173,1,23,1743,467,1920,658
173,1,22,1852,682,1916,867
173,10,20,905,545,1018,650
173,1,16,936,554,1021,650
173,1,15,961,550,1095,648
173,1,13,998,558,1095,648
173,1,12,629,535,956,672
174,1,23,1725,455,1918,655
174,10,22,1851,689,1917,870
174,1,20,878,542,993,648
174,1,16,911,550,993,647
174,1,15,928,542,1067,644
174,10,13,975,554,1072,646
174,1,12,594,530,927,669
175,1,23,1668,425,1908,658
175,1,20,849,540,965,647
175,1,16,880,548,962,645
175,1,15,898,541,1043,643
175,1,13,950,551,1048,644
175,1,12,558,527,898,668
176,1,20,820,542,938,649
176,1,16,855,550,936,648
176,1,15,865,542,1014,645
176,1,13,922,553,1020,647
176,1,12,521,526,866,669
177,1,24,1859,673,1923,937
177,1,20,789,555,911,665
177,1,16,825,562,908,663
177,10,15,840,553,991,659
177,1,13,895,563,995,660
177,1,12,484,539,838,686
178,1,26,1639,514,1910,711
178,1,24,1866,720,1923,957
178,1,20,761,573,884,683
178,1,16,797,581,881,683
178,1,15,810,570,965,678
178,1,13,868,581,969,679
178,1,12,449,557,811,706
179,1,26,1602,531,1900,723
179,1,23,1623,458,1920,712
179,1,20,731,592,857,701
179,1,16,775,600,857,701
179,10,15,783,586,939,695
179,1,13,845,596,946,697
179,10,12,413,576,783,728
180,1,23,1574,472,1906,729
180,1,20,695,604,825,715
180,1,16,743,612,825,714
180,10,15,750,598,906,706
180,1,13,815,608,916,709
180,1,12,370,588,750,743
181,1,29,1163,599,1237,684
181,10,20,663,607,797,720
181,1,16,716,614,798,719
181,1,15,727,601,886,712
181,10,13,789,615,892,716
181,1,12,331,591,720,748
182,1,32,1495,509,1917,737
182,10,29,1145,592,1218,678
182,1,20,638,594,776,710
182,1,16,689,604,774,710
182,1,15,698,590,865,706
182,10,13,764,602,870,708
182,1,12,297,579,696,740
183,1,32,1478,499,1894,721
183,1,20,614,576,758,693
183,1,16,670,583,757,691
183,10,15,684,568,853,687
183,1,13,749,580,857,687
183,1,12,266,557,674,719
184,1,32,1461,483,1871,707
184,1,20,597,556,742,676
184,1,16,650,566,738,677
184,10,15,662,549,835,670
184,1,13,730,562,841,673
184,1,12,236,539,653,708
185,1,32,1456,470,1869,692
185,1,20,588,556,730,678
185,1,16,632,563,722,677
185,1,15,649,548,825,671
185,1,13,713,559,826,672
185,1,12,208,538,634,709
186,1,32,1445,474,1870,703
186,10,16,609,578,703,693
186,1,15,624,562,804,686
186,1,13,694,574,809,686
186,1,12,176,554,612,728
187,1,32,1433,490,1855,720
187,10,16,588,597,683,714
187,1,15,609,582,790,707
187,1,13,675,590,793,706
187,1,12,145,573,591,752
188,1,34,1823,628,1922,756
188,10,32,1436,508,1874,740
188,1,16,563,609,660,729
188,1,15,586,592,771,720
188,10,13,655,604,774,721
188,1,12,99,584,559,768
189,1,34,1832,645,1923,770
189,10,32,1414,517,1886,754
189,1,16,538,613,639,736
189,1,15,563,596,751,727
189,1,13,633,614,754,730
189,1,12,60,588,534,776
190,1,32,1391,513,1895,759
190,10,16,514,611,619,737
190,1,15,540,593,735,728
190,1,13,615,613,739,731
190,1,12,19,586,508,779
191,1,32,1377,505,1900,752
191,1,16,488,599,597,728
191,1,15,515,583,718,722
191,10,13,593,603,719,722
191,1,12,-4,578,490,774
192,1,32,1320,494,1789,736
192,1,16,458,587,574,720
192,1,15,480,569,695,713
192,1,13,574,587,703,711
192,10,12,-18,564,474,766
193,1,32,1305,487,1746,729
193,1,16,428,580,550,715
193,1,15,455,559,678,706
193,10,13,550,580,683,706
193,1,12,-29,557,450,764
194,1,32,1292,474,1717,715
194,1,16,395,575,524,714
