frame_number,class_id,object_id,x1,y1,x2,y2
1,1,2,692,548,773,829
1,2,1,1007,516,1403,785
2,1,2,693,547,774,835
2,2,1,1008,517,1403,784
3,1,2,692,546,772,832
3,2,1,1008,517,1402,783
4,1,2,690,545,772,833
4,2,1,1007,517,1403,784
5,1,1,1008,518,1403,783
6,1,1,1008,519,1403,783
7,1,1,1007,517,1403,783
8,1,1,1008,518,1403,783
9,1,1,1008,518,1403,783
10,1,1,1007,519,1402,783
11,1,1,1008,519,1403,783
12,1,3,691,547,778,830
12,2,1,1007,519,1402,784
13,1,3,692,548,778,829
13,2,1,1007,519,1402,784
14,1,3,693,548,777,827
14,2,1,1007,519,1402,783
15,1,3,694,550,777,829
15,2,1,1007,519,1402,783
16,1,3,694,550,777,829
16,2,1,1007,520,1402,783
17,1,3,694,550,776,828
17,2,1,1007,520,1402,783
18,1,3,695,550,776,828
18,2,1,1007,520,1402,784
19,1,3,695,550,775,828
19,2,1,1007,520,1403,784
20,1,3,695,550,775,827
20,2,1,1007,520,1403,784
21,1,3,693,550,775,830
21,2,1,1007,520,1403,784
22,1,3,693,549,775,830
22,2,1,1007,520,1403,783
23,1,3,694,549,776,830
23,2,1,1007,519,1403,784
24,1,3,693,548,775,829
24,2,1,1007,519,1403,784
25,1,3,691,549,774,831
25,2,1,1007,520,1403,783
26,1,3,692,547,774,829
26,2,1,1007,518,1403,783
27,1,3,693,547,774,827
27,2,1,1007,518,1403,783
28,1,3,693,547,774,827
28,2,1,1007,518,1403,784
29,1,3,692,547,773,827
29,2,1,1007,519,1403,785
30,1,3,691,546,772,825
30,2,1,1007,518,1403,785
31,1,3,690,548,772,827
31,2,1,1007,518,1403,784
32,1,3,690,547,772,826
32,2,1,1007,519,1403,785
33,1,3,689,548,772,828
33,2,1,1007,518,1403,783
34,1,3,689,548,773,829
34,2,1,1007,517,1403,783
35,1,3,689,547,773,829
35,2,1,1007,517,1403,783
36,1,3,687,546,772,829
36,2,1,1007,518,1403,785
37,1,3,686,545,772,831
37,2,1,1007,518,1403,784
38,1,1,1007,519,1403,784
39,1,1,1007,519,1403,785
40,1,1,1007,518,1403,784
41,1,3,685,540,773,835
41,2,1,1007,518,1403,785
42,1,3,685,539,773,833
42,2,1,1007,519,1403,785
43,1,3,685,542,773,833
43,2,1,1007,518,1403,784
44,1,3,686,544,774,834
44,2,1,1007,519,1403,784
45,1,3,687,545,773,833
45,2,1,1007,518,1403,783
46,1,3,688,547,774,833
46,2,1,1007,518,1403,783
47,1,3,690,547,775,831
47,2,1,1007,518,1403,783
48,1,3,691,547,775,829
48,2,1,1007,518,1403,783
49,1,3,693,548,776,829
49,2,1,1007,518,1403,783
50,1,3,693,548,775,828
50,2,1,1007,518,1403,783
51,1,3,692,550,774,828
51,2,1,1007,518,1403,783
52,1,3,692,549,775,828
52,2,1,1007,517,1403,783
53,1,3,691,548,776,828
53,2,1,1007,519,1403,783
54,1,3,691,547,776,828
54,2,1,1007,519,1403,783
55,1,3,690,549,776,830
55,2,1,1007,519,1403,783
56,1,3,689,549,775,833
56,2,1,1007,519,1403,783
57,1,3,698,552,780,836
57,2,1,1007,519,1403,783
58,1,1,1007,518,1403,784
59,1,1,1007,518,1403,784
60,1,1,1006,517,1402,784
61,1,1,1006,518,1403,785
62,1,1,1006,518,1403,785
63,1,1,1006,518,1403,786
64,1,1,1006,518,1403,786
65,1,1,1006,517,1403,785
66,1,1,1006,517,1403,785
