NOTES: less 4's, 7's
maneuver_start,maneuver_type,duration_prior_s,fixated_obj_id,fixated_class_id,fixation_frames,total_gaze_frames
2000,LLC,2,477,1,17,17
2000,LLC,2,481,1,20,20
2000,LLC,5,447,1,19,19
2000,LLC,5,474,1,18,23
2000,LLC,5,477,1,17,17
2000,LLC,5,481,1,20,20
2000,LLC,10,413,1,15,25
2000,LLC,10,419,1,23,23
2000,LLC,10,421,1,22,22
2000,LLC,10,426,1,20,50
2000,LLC,10,447,1,19,28
2000,LLC,10,474,1,18,23
2000,LLC,10,477,1,17,17
2000,LLC,10,481,1,20,20
2039,ST,5,474,1,18,23
2039,ST,5,477,1,17,17
2039,ST,5,481,1,20,20
2039,ST,10,426,1,20,49
2039,ST,10,447,1,19,28
2039,ST,10,474,1,18,23
2039,ST,10,477,1,17,17
2039,ST,10,481,1,20,20
2124,LT,2,518,1,19,19
2124,LT,2,534,1,23,29
2124,LT,2,540,1,17,17
2124,LT,5,500,1,17,17
2124,LT,5,518,1,19,19
2124,LT,5,534,1,23,29
2124,LT,5,540,1,17,17
2124,LT,10,447,1,19,28
2124,LT,10,474,1,18,23
2124,LT,10,477,1,17,17
2124,LT,10,481,1,20,20
2124,LT,10,500,1,17,17
2124,LT,10,518,1,19,19
2124,LT,10,534,1,23,29
2124,LT,10,540,1,17,17
2164,ST,5,500,1,17,17
2164,ST,5,518,1,19,19
2164,ST,5,534,1,23,29
2164,ST,5,540,1,17,17
2164,ST,10,474,1,18,23
2164,ST,10,477,1,17,17
2164,ST,10,481,1,20,20
2164,ST,10,500,1,17,17
2164,ST,10,518,1,19,19
2164,ST,10,534,1,23,29
2164,ST,10,540,1,17,17
2611,RT,10,592,1,24,24
2611,RT,10,610,1,40,41
4757,LT,2,2311,1,23,23
4910,LLC,2,2575,1,24,25
4910,LLC,5,2575,1,24,25
4973,ST,5,2575,1,24,64
5242,LT,2,2817,1,18,18
5242,LT,2,2851,1,17,18
5282,ST,2,2851,1,24,26
7824,LLC,2,4172,1,21,28
7824,LLC,2,4180,1,20,35
7824,LLC,5,4149,1,20,29
7824,LLC,5,4172,1,21,36
7824,LLC,5,4180,1,20,35
7824,LLC,10,4149,1,20,29
7824,LLC,10,4172,1,21,36
7824,LLC,10,4180,1,20,35
7851,ST,2,4180,1,18,25
7851,ST,5,4149,1,20,29
7851,ST,5,4172,1,21,36
7851,ST,5,4180,1,20,35
7851,ST,10,4149,1,20,29
7851,ST,10,4172,1,21,36
7851,ST,10,4180,1,20,35
9100,LT,2,5354,1,22,40
9100,LT,2,5355,1,17,22
9100,LT,5,5305,7,30,40
9100,LT,5,5330,1,17,60
9100,LT,5,5354,1,60,78
9100,LT,5,5355,1,17,32
9100,LT,10,5275,1,27,27
9100,LT,10,5305,7,30,54
9100,LT,10,5330,1,17,60
9100,LT,10,5354,1,60,78
9100,LT,10,5355,1,17,32
9152,ST,5,5354,1,60,78
9152,ST,5,5330,1,17,44
9152,ST,5,5355,1,17,32
9152,ST,10,5275,1,27,27
9152,ST,10,5305,7,30,54
9152,ST,10,5330,1,17,60
9152,ST,10,5354,1,60,78
9152,ST,10,5355,1,17,32
9248,LLC,10,5305,7,30,42
9248,LLC,10,5330,1,17,60
9248,LLC,10,5354,1,60,78
9248,LLC,10,5355,1,17,32
9327,ST,2,5568,1,36,39
9327,ST,2,5550,1,15,17
9327,ST,5,5534,1,21,22
9327,ST,5,5568,1,36,39
9327,ST,5,5550,1,15,17
9327,ST,10,5354,1,35,53
9327,ST,10,5355,1,17,28
9327,ST,10,5534,1,21,22
9327,ST,10,5568,1,36,39
9327,ST,10,5550,1,15,17
11244,LLC,10,7672,1,29,44
11275,ST,2,7904,1,17,17
11275,ST,5,7904,1,17,17
11275,ST,10,7672,1,29,44
11275,ST,10,7904,1,17,17
11678,LT,2,8181,1,23,43
11678,LT,2,8180,1,24,42
11678,LT,5,8179,1,20,67
11678,LT,5,8180,1,24,80
11678,LT,5,8181,1,23,77
11678,LT,10,8179,1,20,67
11678,LT,10,8180,1,24,80
11678,LT,10,8181,1,23,77
11775,ST,5,8181,1,23,38
11775,ST,5,8180,1,24,37
11775,ST,10,8179,1,20,67
11775,ST,10,8180,1,24,80
11775,ST,10,8181,1,23,77
12802,RLC,5,8308,1,54,90
12802,RLC,10,8308,1,54,226
12802,RLC,10,8495,1,19,101
12802,RLC,10,8517,1,17,17
12841,ST,5,8308,1,24,79
12841,ST,10,8495,1,19,82
12841,ST,10,8308,1,54,217
12841,ST,10,8517,1,17,17
13050,LT,5,8308,1,18,26
13050,LT,5,8619,4,15,72
13050,LT,10,8308,1,19,112
13050,LT,10,8619,4,15,72
13097,ST,10,8308,1,19,101
13097,ST,10,8619,4,15,72
13234,RT,5,8722,1,20,68
13234,RT,10,8619,4,15,63
13234,RT,10,8722,1,20,68
13266,ST,5,8722,1,20,66
13266,ST,10,8722,1,20,68
13333,LT,10,8722,1,20,68
13371,ST,10,8722,1,20,68
